taxon_name,threatened,native,rl_cat,seedmass,dispersal_mode,dispersal_distance,germination_freq_mean,termvel_mean,most_frequent_seed_str,most_frequent_diaspore_type,most_frequent_seedbank_type,mean_seedbank_index
Abies alba,no,native,*,72.8666666666666,Anemochory,4,NA,NA,No appendages,germinule,NA,NA
Abutilon theophrasti,no,established non-native,nb,9.807,Local non-specific dispersal,2,98,NA,NA,NA,NA,NA
Acer campestre,no,native,*,73.6094274509803,Anemochory,4,NA,1.21,Flat appendages,generative dispersule,transient,0
Acer monspessulanum,no,native,*,38.5844,Anemochory,4,NA,NA,Flat appendages,generative dispersule,NA,NA
Acer negundo,no,established non-native,nb,35.3438888888889,Anemochory,4,NA,0.78,Flat appendages,generative dispersule,NA,NA
Acer opalus,no,native,R,97.72329545,Anemochory,4,NA,NA,NA,NA,NA,NA
Acer platanoides,no,native,*,122.626,Anemochory,4,NA,1.012,Flat appendages,generative dispersule,transient,0
Acer pseudoplatanus,no,native,*,105.918133332333,Anemochory,4,NA,0.99,Flat appendages,generative dispersule,transient,0
Achillea atrata,no,native,*,0.3408,Local non-specific dispersal,1,NA,0.92424,NA,NA,NA,NA
Achillea crithmifolia,no,established non-native,nb,NA,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Achillea macrophylla,no,native,R,0.348,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Achillea millefolium,no,native,*,0.164496777777777,Local non-specific dispersal,2,100,1.4502857142857142,Flat appendages,generative dispersule,transient,0.06272401433691756
Achillea pannonica,no,native,V,0.14765,Local non-specific dispersal,2,NA,NA,NA,NA,transient,0
Achillea millefolium subsp. millefolium,no,native,*,NA,Local non-specific dispersal,NA,NA,NA,NA,NA,NA,NA
Achillea × roseoalba,yes,native,2,NA,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Achillea nobilis,no,native,V,0.115266666666666,Local non-specific dispersal,2,NA,1.1353,NA,NA,transient,0
Achillea ptarmica,no,native,*,0.296383333333333,Local non-specific dispersal,2,100,1.9077272727272727,Flat appendages,generative dispersule,transient,0.0196078431372549
Achillea salicifolia,no,native,*,0.241666666666667,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Achnatherum calamagrostis,no,native,*,0.395,Local non-specific dispersal,2,86.66666666666667,1.03,NA,NA,NA,NA
Clinopodium alpinum,no,native,*,0.781333333333333,Myrmecochory,3,NA,NA,NA,NA,NA,NA
Clinopodium acinos,no,native,V,0.624511111111111,Myrmecochory,3,100,NA,NA,NA,NA,NA
Aconitum lycoctonum,no,native,*,3.57241666666666,Local non-specific dispersal,2,77.5,NA,No appendages,generative dispersule,transient,0
Aconitum napellus,no,native,*,3.415,Local non-specific dispersal,2,97,3.33,Flat appendages,generative dispersule,NA,NA
Aconitum plicatum,no,native,R,NA,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Aconitum tauricum,no,native,R,2.556,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Aconitum degenii,no,native,*,NA,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Aconitum pilipes,no,native,*,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aconitum variegatum,no,native,V,0.8981,Local non-specific dispersal,2,NA,NA,Elongated appendages,generative dispersule,NA,NA
Koenigia polystachya,no,established non-native,nb,NA,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Acorus calamus,no,established non-native,nb,2.61925,Hydrochory,NA,NA,2.440909090909091,NA,NA,transient,0
Leuzea repens,no,established non-native,nb,NA,Anemochory,5,NA,NA,NA,NA,NA,NA
Actaea spicata,no,native,*,108.8484,Endozoochory,6,96,NA,No appendages,generative dispersule,transient,0
Adenophora liliifolia,yes,native,1,0.362983333333333,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Adenostyles alliariae,no,native,*,1.0841,Anemochory,5,NA,0.73,Elongated appendages,generative dispersule,NA,NA
Adenostyles alpina,no,native,*,1.349675,Anemochory,5,NA,NA,NA,NA,NA,NA
Adonis aestivalis,yes,native,2,10.1406666666666,Local non-specific dispersal,2,NA,NA,Elongated appendages,generative dispersule,NA,NA
Adonis flammea,yes,native,1,6.89,Local non-specific dispersal,2,NA,NA,Elongated appendages,generative dispersule,NA,NA
Adonis vernalis,yes,native,3,10.6473333333333,Local non-specific dispersal,1,NA,1.6,Elongated appendages,generative dispersule,transient,0
Adoxa moschatellina,no,native,*,38.2096666666666,Endozoochory,6,NA,NA,No appendages,germinule,transient,0
Aegopodium podagraria,no,native,*,2.12286666666666,Local non-specific dispersal,2,60,3.7,No appendages,generative dispersule,transient,0.18571428571428572
Aethionema saxatile,yes,native,1,0.5931,Local non-specific dispersal,1,NA,3.098181818181818,Flat appendages,generative dispersule,NA,NA
Aethusa cynapium,no,native,*,1.45201783333333,Local non-specific dispersal,2,89,2.8154545454545454,No appendages,generative dispersule,short-term persistent,0.5857142857142857
Agrimonia eupatoria,no,native,*,15.0787308833333,Epizoochory,6,90,4.0581818181818186,Elongated appendages,generative dispersule,transient,0.009433962264150943
Agrimonia procera,no,native,*,26.39005,Epizoochory,6,NA,3.3445454545454547,Elongated appendages,generative dispersule,NA,NA
Agrostemma githago,yes,native,2,12.6999583333333,Local non-specific dispersal,2,96,4.348888888888889,Elongated appendages,generative dispersule,transient,0.125
Alpagrostis alpina,no,native,*,0.164,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alpagrostis schleicheri,no,native,*,0.154266666666666,Local non-specific dispersal,1,NA,NA,Elongated appendages,generative dispersule,NA,NA
Agrostis canina,no,native,*,0.0560761904761905,Local non-specific dispersal,2,80,NA,Elongated appendages,generative dispersule,short-term persistent,0.33636363636363636
Agrostis vinealis,no,native,V,0.0711033332999999,Local non-specific dispersal,2,87,1.59,Balloon structures,generative dispersule,transient,0.20588235294117646
Agrostis capillaris,no,native,*,0.06955,Local non-specific dispersal,2,97,1.1675,Balloon structures,generative dispersule,transient,0.3148148148148148
Agrostis castellana,no,established non-native,nb,0.13,Local non-specific dispersal,2,100,NA,NA,NA,short-term persistent,0.5
Agrostis rupestris,no,native,*,0.112,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Agrostis scabra,no,established non-native,nb,NA,NA,NA,NA,NA,NA,NA,NA,NA
